Nama_Produk,Akun,Ulasan,Rate,normalized_Ulasan,cleaned_Ulasan,tokenized_Ulasan,stemmed_Ulasan,final_Ulasan,Sentiment
Oppo Reno 5,a***s,sudah berlangganan tapi di kasik carger yg tdk ori. eman sih,4.0,sudah berlangganan tapi di kasik carger yg tdk ori. eman sih,sudah berlangganan tapi di kasik carger yg tdk ori eman sih,"['sudah', 'berlangganan', 'tapi', 'di', 'kasik', 'carger', 'yg', 'tdk', 'ori', 'eman', 'sih']","['sudah', 'langgan', 'tapi', 'di', 'kasik', 'carger', 'yg', 'tdk', 'ori', 'eman', 'sih']","['langgan', 'kasik', 'carger', 'tdk', 'ori', 'sih']",Positif
Oppo Reno 5,Heri,ok,2.0,ok,ok,['ok'],['ok'],[],Negatif
Oppo Reno 5,wanto,barang oke..cuma seller slow respon,5.0,Barang oke..cuma seller slow respon,barang okecuma seller slow respon,"['barang', 'okecuma', 'seller', 'slow', 'respon']","['barang', 'okecuma', 'seller', 'slow', 'respon']","['barang', 'okecuma', 'seller', 'slow', 'respon']",Positif
Oppo Reno 5,ikbal,"cepet banget sampe nya good job,,kurir baik,barang real pict puasssss bgt pokok nya😍syukaaaaa",5.0,"cepet banget sampe nya good job,,kurir baik,barang real pict puasssss banget pokok nya😍syukaaaaa",cepet banget sampe nya good jobkurir baikbarang real pict puasssss banget pokok nyasyukaaaaa,"['cepet', 'banget', 'sampe', 'nya', 'good', 'jobkurir', 'baikbarang', 'real', 'pict', 'puasssss', 'banget', 'pokok', 'nyasyukaaaaa']","['cepet', 'banget', 'sampe', 'nya', 'good', 'jobkurir', 'baikbarang', 'real', 'pict', 'puasssss', 'banget', 'pokok', 'nyasyukaaaaa']","['cepet', 'banget', 'sampe', 'good', 'jobkurir', 'baikbarang', 'real', 'pict', 'puasssss', 'banget', 'pokok', 'nyasyukaaaaa']",Positif
Oppo Reno 5,dhendr,"bagus, sangat puas. barangnya original 👍. ada garansi resmi. spesifikasi sesuai . kelengkapan sesuai. kemasan disegel. barangnya mulus. berfungsi dengan baik.",5.0,"bagus, sangat puas. Barangnya original 👍. Ada garansi resmi. Spesifikasi sesuai . Kelengkapan sesuai. Kemasan disegel. Barangnya mulus. Berfungsi dengan baik.",bagus sangat puas barangnya original  ada garansi resmi spesifikasi sesuai  kelengkapan sesuai kemasan disegel barangnya mulus berfungsi dengan baik,"['bagus', 'sangat', 'puas', 'barangnya', 'original', 'ada', 'garansi', 'resmi', 'spesifikasi', 'sesuai', 'kelengkapan', 'sesuai', 'kemasan', 'disegel', 'barangnya', 'mulus', 'berfungsi', 'dengan', 'baik']","['bagus', 'sangat', 'puas', 'barang', 'original', 'ada', 'garansi', 'resmi', 'spesifikasi', 'sesuai', 'lengkap', 'sesuai', 'kemas', 'segel', 'barang', 'mulus', 'fungsi', 'dengan', 'baik']","['bagus', 'puas', 'barang', 'original', 'garansi', 'resmi', 'spesifikasi', 'sesuai', 'lengkap', 'sesuai', 'kemas', 'segel', 'barang', 'mulus', 'fungsi']",Positif
Oppo Reno 5,A***A,penjual tdk ramah dan barang tdk sesuai.,1.0,Penjual tdk ramah dan barang tdk sesuai.,penjual tdk ramah dan barang tdk sesuai,"['penjual', 'tdk', 'ramah', 'dan', 'barang', 'tdk', 'sesuai']","['jual', 'tdk', 'ramah', 'dan', 'barang', 'tdk', 'sesuai']","['jual', 'tdk', 'ramah', 'barang', 'tdk', 'sesuai']",Negatif
Oppo Reno 5,ASKA,"penjual ini memang sok benar,padahal barang yg dikirim sangat tdk sesuai dengan judul. sudah dikasi tau bahwa hp yg dikirim tdk sesuai ,tp masih saja yakin dan keras kepala dan paling benar. yang lain hati2 belanja ditoko ini. sama saja toko ini penipu.",1.0,"Penjual ini memang sok benar,padahal barang yg dikirim sangat tdk sesuai dengan judul. sudah dikasi tau bahwa hp yg dikirim tdk sesuai ,tp masih saja yakin dan keras kepala dan paling benar. yang lain hati2 belanja ditoko ini. sama saja toko ini penipu.",penjual ini memang sok benarpadahal barang yg dikirim sangat tdk sesuai dengan judul sudah dikasi tau bahwa hp yg dikirim tdk sesuai tp masih saja yakin dan keras kepala dan paling benar yang lain hati belanja ditoko ini sama saja toko ini penipu,"['penjual', 'ini', 'memang', 'sok', 'benarpadahal', 'barang', 'yg', 'dikirim', 'sangat', 'tdk', 'sesuai', 'dengan', 'judul', 'sudah', 'dikasi', 'tau', 'bahwa', 'hp', 'yg', 'dikirim', 'tdk', 'sesuai', 'tp', 'masih', 'saja', 'yakin', 'dan', 'keras', 'kepala', 'dan', 'paling', 'benar', 'yang', 'lain', 'hati', 'belanja', 'ditoko', 'ini', 'sama', 'saja', 'toko', 'ini', 'penipu']","['jual', 'ini', 'memang', 'sok', 'benarpadahal', 'barang', 'yg', 'kirim', 'sangat', 'tdk', 'sesuai', 'dengan', 'judul', 'sudah', 'kasi', 'tau', 'bahwa', 'hp', 'yg', 'kirim', 'tdk', 'sesuai', 'tp', 'masih', 'saja', 'yakin', 'dan', 'keras', 'kepala', 'dan', 'paling', 'benar', 'yang', 'lain', 'hati', 'belanja', 'toko', 'ini', 'sama', 'saja', 'toko', 'ini', 'tipu']","['jual', 'sok', 'benarpadahal', 'barang', 'kirim', 'tdk', 'sesuai', 'judul', 'kasi', 'tau', 'hp', 'kirim', 'tdk', 'sesuai', 'tp', 'keras', 'kepala', 'hati', 'belanja', 'toko', 'toko', 'tipu']",Negatif
Oppo Reno 5,Ali,"mantap barang sudh sampai puas bangetttt,...🙏😁",5.0,"mantap barang sudh sampai puas bangetttt,...🙏😁",mantap barang sudh sampai puas bangetttt,"['mantap', 'barang', 'sudh', 'sampai', 'puas', 'bangetttt']","['mantap', 'barang', 'sudh', 'sampai', 'puas', 'bangetttt']","['mantap', 'barang', 'sudh', 'puas', 'bangetttt']",Positif
Oppo Reno 5,surta,barangnya original 👍,5.0,Barangnya original 👍,barangnya original ,"['barangnya', 'original']","['barang', 'original']","['barang', 'original']",Positif
Oppo Reno 5,akhlis,sangat mantap kak. pengen beli lagi kalo gtu semoga semuanya amanbarangnya original 👍. spesifikasi sesuai . barangnya mulus lecet pemakaian saja.,5.0,sangat mantap kak. pengen beli lagi kalo gtu semoga semuanya amanBarangnya original 👍. Spesifikasi sesuai . Barangnya mulus lecet pemakaian saja.,sangat mantap kak pengen beli lagi kalo gtu semoga semuanya amanbarangnya original  spesifikasi sesuai  barangnya mulus lecet pemakaian saja,"['sangat', 'mantap', 'kak', 'pengen', 'beli', 'lagi', 'kalo', 'gtu', 'semoga', 'semuanya', 'amanbarangnya', 'original', 'spesifikasi', 'sesuai', 'barangnya', 'mulus', 'lecet', 'pemakaian', 'saja']","['sangat', 'mantap', 'kak', 'ken', 'beli', 'lagi', 'kalo', 'gtu', 'moga', 'semua', 'amanbarangnya', 'original', 'spesifikasi', 'sesuai', 'barang', 'mulus', 'lecet', 'pakai', 'saja']","['mantap', 'kak', 'ken', 'beli', 'kalo', 'gtu', 'moga', 'amanbarangnya', 'original', 'spesifikasi', 'sesuai', 'barang', 'mulus', 'lecet', 'pakai']",Positif
Oppo Reno 5,alan,spesifikasi sesuai .,5.0,Spesifikasi sesuai .,spesifikasi sesuai ,"['spesifikasi', 'sesuai']","['spesifikasi', 'sesuai']","['spesifikasi', 'sesuai']",Positif
Oppo Reno 5,A***t,"bintik jamur kok like new,slow respon nya minta ampun...saya sih review sesuai apa yg diterima aja ya...kemarin2 dapat like new ya saya respon bagus",2.0,"bintik jamur kok like new,slow respon nya minta ampun...saya sih review sesuai apa yg diterima aja ya...kemarin2 dapat like new ya saya respon bagus",bintik jamur kok like newslow respon nya minta ampunsaya sih review sesuai apa yg diterima aja yakemarin dapat like new ya saya respon bagus,"['bintik', 'jamur', 'kok', 'like', 'newslow', 'respon', 'nya', 'minta', 'ampunsaya', 'sih', 'review', 'sesuai', 'apa', 'yg', 'diterima', 'aja', 'yakemarin', 'dapat', 'like', 'new', 'ya', 'saya', 'respon', 'bagus']","['bintik', 'jamur', 'kok', 'like', 'newslow', 'respon', 'nya', 'minta', 'ampunsaya', 'sih', 'review', 'sesuai', 'apa', 'yg', 'terima', 'aja', 'yakemarin', 'dapat', 'like', 'new', 'ya', 'saya', 'respon', 'bagus']","['bintik', 'jamur', 'like', 'newslow', 'respon', 'ampunsaya', 'sih', 'review', 'sesuai', 'terima', 'aja', 'yakemarin', 'like', 'new', 'respon', 'bagus']",Negatif
Oppo Reno 5,L***a,barangnya original 👍. kemasan disegel. ada garansi resmi.,5.0,Barangnya original 👍. Kemasan disegel. Ada garansi resmi.,barangnya original  kemasan disegel ada garansi resmi,"['barangnya', 'original', 'kemasan', 'disegel', 'ada', 'garansi', 'resmi']","['barang', 'original', 'kemas', 'segel', 'ada', 'garansi', 'resmi']","['barang', 'original', 'kemas', 'segel', 'garansi', 'resmi']",Positif
Oppo Reno 5,Agus,biang bos barangnya original 👍.,5.0,Biang bos Barangnya original 👍.,biang bos barangnya original ,"['biang', 'bos', 'barangnya', 'original']","['biang', 'bos', 'barang', 'original']","['biang', 'bos', 'barang', 'original']",Positif
Oppo Reno 5,RYAN,mantap gaess sellernya goks barangnya gamengecewakan 😎,5.0,mantap gaess sellernya goks barangnya gamengecewakan 😎,mantap gaess sellernya goks barangnya gamengecewakan ,"['mantap', 'gaess', 'sellernya', 'goks', 'barangnya', 'gamengecewakan']","['mantap', 'gaess', 'sellernya', 'goks', 'barang', 'gamengecewakan']","['mantap', 'gaess', 'sellernya', 'goks', 'barang', 'gamengecewakan']",Positif
Oppo A96,Didik,"barang ok,bonusnya bnyak bgt mksh",5.0,"barang ok,bonusnya bnyak banget mksh",barang okbonusnya bnyak banget mksh,"['barang', 'okbonusnya', 'bnyak', 'banget', 'mksh']","['barang', 'okbonusnya', 'bnyak', 'banget', 'mksh']","['barang', 'okbonusnya', 'bnyak', 'banget', 'mksh']",Positif
Oppo A96,Benny,barang masih disegel dan sesuai dengan pesanan trima kasih,5.0,Barang masih disegel dan sesuai dengan pesanan trima kasih,barang masih disegel dan sesuai dengan pesanan trima kasih,"['barang', 'masih', 'disegel', 'dan', 'sesuai', 'dengan', 'pesanan', 'trima', 'kasih']","['barang', 'masih', 'segel', 'dan', 'sesuai', 'dengan', 'pesan', 'trima', 'kasih']","['barang', 'segel', 'sesuai', 'pesan', 'trima', 'kasih']",Positif
Oppo A96,Catur,barang masih disegel dan sesuai dengan pesanan trima kasih,5.0,Barang masih disegel dan sesuai dengan pesanan trima kasih,barang masih disegel dan sesuai dengan pesanan trima kasih,"['barang', 'masih', 'disegel', 'dan', 'sesuai', 'dengan', 'pesanan', 'trima', 'kasih']","['barang', 'masih', 'segel', 'dan', 'sesuai', 'dengan', 'pesan', 'trima', 'kasih']","['barang', 'segel', 'sesuai', 'pesan', 'trima', 'kasih']",Positif
Oppo A96,I***a,puas,5.0,Puas,puas,['puas'],['puas'],['puas'],Positif
Oppo A96,Y***f,"very recommended. packing dus, bubblewrap hp tebal, hp sesuai, garansi ada, dan bonus banyak.",5.0,"Very recommended. Packing dus, bubblewrap hp tebal, hp sesuai, garansi ada, dan bonus banyak.",very recommended packing dus bubblewrap hp tebal hp sesuai garansi ada dan bonus banyak,"['very', 'recommended', 'packing', 'dus', 'bubblewrap', 'hp', 'tebal', 'hp', 'sesuai', 'garansi', 'ada', 'dan', 'bonus', 'banyak']","['very', 'recommended', 'packing', 'dus', 'bubblewrap', 'hp', 'tebal', 'hp', 'sesuai', 'garansi', 'ada', 'dan', 'bonus', 'banyak']","['very', 'recommended', 'dus', 'bubblewrap', 'hp', 'tebal', 'hp', 'sesuai', 'garansi', 'bonus']",Positif
Oppo A96,pradita,the best.... 👍👍👍👍👍👍👍👍🥰🥰🥰 pengiriman cepat 🚀 packing aman,5.0,the best.... 👍👍👍👍👍👍👍👍🥰🥰🥰 pengiriman cepat 🚀 packing aman,the best  pengiriman cepat  packing aman,"['the', 'best', 'pengiriman', 'cepat', 'packing', 'aman']","['the', 'best', 'kirim', 'cepat', 'packing', 'aman']","['the', 'kirim', 'cepat', 'aman']",Positif
Oppo A96,kembar,mantap jiwa,5.0,mantap jiwa,mantap jiwa,"['mantap', 'jiwa']","['mantap', 'jiwa']","['mantap', 'jiwa']",Positif
Oppo A96,M,barangnya original 👍. kemasan disegel. warna sesuai pesanan.,5.0,Barangnya original 👍. Kemasan disegel. Warna sesuai pesanan.,barangnya original  kemasan disegel warna sesuai pesanan,"['barangnya', 'original', 'kemasan', 'disegel', 'warna', 'sesuai', 'pesanan']","['barang', 'original', 'kemas', 'segel', 'warna', 'sesuai', 'pesan']","['barang', 'original', 'kemas', 'segel', 'warna', 'sesuai', 'pesan']",Positif
Oppo A96,Ariyandri,mntap kk barang sesuai dengan pesanan puas dh 👍,5.0,mntap kk barang sesuai dengan pesanan puas dh 👍,mntap kk barang sesuai dengan pesanan puas dh ,"['mntap', 'kk', 'barang', 'sesuai', 'dengan', 'pesanan', 'puas', 'dh']","['mntap', 'kk', 'barang', 'sesuai', 'dengan', 'pesan', 'puas', 'dh']","['mntap', 'barang', 'sesuai', 'pesan', 'puas', 'dh']",Positif
Oppo A96,anita,mantul games..bonuse akeh..,5.0,mantap betul games..bonuse akeh..,mantap betul gamesbonuse akeh,"['mantap', 'betul', 'gamesbonuse', 'akeh']","['mantap', 'betul', 'gamesbonuse', 'akeh']","['mantap', 'gamesbonuse']",Positif
Oppo A96,muhammad,pengiriman super cepat..respon penjual ok..,4.0,pengiriman super cepat..respon penjual ok..,pengiriman super cepatrespon penjual ok,"['pengiriman', 'super', 'cepatrespon', 'penjual', 'ok']","['kirim', 'super', 'cepatrespon', 'jual', 'ok']","['kirim', 'super', 'cepatrespon', 'jual']",Positif
Oppo A96,Harist,"mantap, barang sesuai, pengiriman cepat & respon admin cepat 👍",5.0,"Mantap, barang sesuai, pengiriman cepat & respon admin cepat 👍",mantap barang sesuai pengiriman cepat  respon admin cepat ,"['mantap', 'barang', 'sesuai', 'pengiriman', 'cepat', 'respon', 'admin', 'cepat']","['mantap', 'barang', 'sesuai', 'kirim', 'cepat', 'respon', 'admin', 'cepat']","['mantap', 'barang', 'sesuai', 'kirim', 'cepat', 'respon', 'admin', 'cepat']",Positif
Oppo A96,kholis,barang nya sesuai bagus pelayanan nya trimakasih,5.0,barang nya sesuai bagus pelayanan nya trimakasih,barang nya sesuai bagus pelayanan nya trimakasih,"['barang', 'nya', 'sesuai', 'bagus', 'pelayanan', 'nya', 'trimakasih']","['barang', 'nya', 'sesuai', 'bagus', 'layan', 'nya', 'trimakasih']","['barang', 'sesuai', 'bagus', 'layan', 'trimakasih']",Positif
Oppo A96,Abdul,alhamdulillah sudah diterima dengan cepat dan baik.sukses selalu,5.0,Alhamdulillah sudah diterima dengan cepat dan baik.Sukses selalu,alhamdulillah sudah diterima dengan cepat dan baiksukses selalu,"['alhamdulillah', 'sudah', 'diterima', 'dengan', 'cepat', 'dan', 'baiksukses', 'selalu']","['alhamdulillah', 'sudah', 'terima', 'dengan', 'cepat', 'dan', 'baiksukses', 'selalu']","['alhamdulillah', 'terima', 'cepat', 'baiksukses']",Positif
Oppo A96,Okky,mantap dah pokonya hp nya segel ori acc bonus nya bagus dan buanyak bett mantapppp,5.0,Mantap dah pokonya Hp nya segel original Acc bonus nya bagus dan buanyak bett Mantapppp,mantap dah pokonya hp nya segel original acc bonus nya bagus dan buanyak bett mantapppp,"['mantap', 'dah', 'pokonya', 'hp', 'nya', 'segel', 'original', 'acc', 'bonus', 'nya', 'bagus', 'dan', 'buanyak', 'bett', 'mantapppp']","['mantap', 'dah', 'poko', 'hp', 'nya', 'segel', 'original', 'acc', 'bonus', 'nya', 'bagus', 'dan', 'buanyak', 'bett', 'mantapppp']","['mantap', 'poko', 'hp', 'segel', 'original', 'acc', 'bonus', 'bagus', 'buanyak', 'bett', 'mantapppp']",Positif
Oppo A96,D***o,barangnya original 👍. ada garansi resmi. kemasan disegel. spesifikasi sesuai . kelengkapan sesuai. barangnya mulus. penjualnya ramah banget. proses pesanan cepat. baterai awet. respon penjualnya top. warna sesuai pesanan. berfungsi dengan baik. packaging aman 🙏. packaging rapi.,5.0,Barangnya original 👍. Ada garansi resmi. Kemasan disegel. Spesifikasi sesuai . Kelengkapan sesuai. Barangnya mulus. Penjualnya ramah banget. Proses pesanan cepat. Baterai awet. Respon penjualnya top. Warna sesuai pesanan. Berfungsi dengan baik. Packaging aman 🙏. Packaging rapi.,barangnya original  ada garansi resmi kemasan disegel spesifikasi sesuai  kelengkapan sesuai barangnya mulus penjualnya ramah banget proses pesanan cepat baterai awet respon penjualnya top warna sesuai pesanan berfungsi dengan baik packaging aman  packaging rapi,"['barangnya', 'original', 'ada', 'garansi', 'resmi', 'kemasan', 'disegel', 'spesifikasi', 'sesuai', 'kelengkapan', 'sesuai', 'barangnya', 'mulus', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'baterai', 'awet', 'respon', 'penjualnya', 'top', 'warna', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'packaging', 'aman', 'packaging', 'rapi']","['barang', 'original', 'ada', 'garansi', 'resmi', 'kemas', 'segel', 'spesifikasi', 'sesuai', 'lengkap', 'sesuai', 'barang', 'mulus', 'jual', 'ramah', 'banget', 'proses', 'pesan', 'cepat', 'baterai', 'awet', 'respon', 'jual', 'top', 'warna', 'sesuai', 'pesan', 'fungsi', 'dengan', 'baik', 'packaging', 'aman', 'packaging', 'rapi']","['barang', 'original', 'garansi', 'resmi', 'kemas', 'segel', 'spesifikasi', 'sesuai', 'lengkap', 'sesuai', 'barang', 'mulus', 'jual', 'ramah', 'banget', 'proses', 'pesan', 'cepat', 'baterai', 'awet', 'respon', 'jual', 'top', 'warna', 'sesuai', 'pesan', 'fungsi', 'packaging', 'aman', 'packaging', 'rapi']",Positif
Oppo A96,W***o,sesuai deskripsi terimakasih,5.0,sesuai deskripsi terima kasih,sesuai deskripsi terima kasih,"['sesuai', 'deskripsi', 'terima', 'kasih']","['sesuai', 'deskripsi', 'terima', 'kasih']","['sesuai', 'deskripsi', 'terima', 'kasih']",Positif
Oppo A96,K***r,"saya sebagai pembeli ngerasa puas belanja di sini. makasih banyak yaa, min..",5.0,"Saya sebagai pembeli ngerasa puas belanja di sini. Makasih banyak yaa, Min..",saya sebagai pembeli ngerasa puas belanja di sini makasih banyak yaa min,"['saya', 'sebagai', 'pembeli', 'ngerasa', 'puas', 'belanja', 'di', 'sini', 'makasih', 'banyak', 'yaa', 'min']","['saya', 'bagai', 'beli', 'ngerasa', 'puas', 'belanja', 'di', 'sini', 'makasih', 'banyak', 'yaa', 'min']","['beli', 'ngerasa', 'puas', 'belanja', 'makasih', 'yaa', 'min']",Positif
Oppo A96,B***g,barang ori dan bonusnya bnyak 👍,5.0,barang original dan bonusnya bnyak 👍,barang original dan bonusnya bnyak ,"['barang', 'original', 'dan', 'bonusnya', 'bnyak']","['barang', 'original', 'dan', 'bonus', 'bnyak']","['barang', 'original', 'bonus', 'bnyak']",Positif
Oppo A96,H***o,bagus dan bonusnya juga tepat.,5.0,Bagus dan bonusnya juga tepat.,bagus dan bonusnya juga tepat,"['bagus', 'dan', 'bonusnya', 'juga', 'tepat']","['bagus', 'dan', 'bonus', 'juga', 'tepat']","['bagus', 'bonus']",Positif
Oppo A3x,Marsel,mantap depannya cuman maaf turun bintang pas di check qualcomm nya..,2.0,mantap depannya cuman maaf turun bintang pas di check Qualcomm nya..,mantap depannya cuman maaf turun bintang pas di check qualcomm nya,"['mantap', 'depannya', 'cuman', 'maaf', 'turun', 'bintang', 'pas', 'di', 'check', 'qualcomm', 'nya']","['mantap', 'depan', 'cuman', 'maaf', 'turun', 'bintang', 'pas', 'di', 'check', 'qualcomm', 'nya']","['mantap', 'cuman', 'maaf', 'turun', 'bintang', 'pas', 'check', 'qualcomm']",Negatif
Oppo A3x,B***a,"kurang safety packing nya, pengiriman ke kalimantan tapi dalemnya koclak",3.0,"kurang safety packing nya, pengiriman ke kalimantan tapi dalemnya koclak",kurang safety packing nya pengiriman ke kalimantan tapi dalemnya koclak,"['kurang', 'safety', 'packing', 'nya', 'pengiriman', 'ke', 'kalimantan', 'tapi', 'dalemnya', 'koclak']","['kurang', 'safety', 'packing', 'nya', 'kirim', 'ke', 'kalimantan', 'tapi', 'dalem', 'koclak']","['safety', 'kirim', 'kalimantan', 'dalem', 'koclak']",Netral
Oppo A3x,F***n,"pengiriman nyah cepat bgus , dan kualitas produk nyh sesuai deskripsi tingkat kn lagi",4.0,"pengiriman nyah cepat bgus , dan kualitas produk nyh sesuai deskripsi tingkat kn lagi",pengiriman nyah cepat bgus  dan kualitas produk nyh sesuai deskripsi tingkat kn lagi,"['pengiriman', 'nyah', 'cepat', 'bgus', 'dan', 'kualitas', 'produk', 'nyh', 'sesuai', 'deskripsi', 'tingkat', 'kn', 'lagi']","['kirim', 'nyah', 'cepat', 'bgus', 'dan', 'kualitas', 'produk', 'nyh', 'sesuai', 'deskripsi', 'tingkat', 'kn', 'lagi']","['kirim', 'nyah', 'cepat', 'bgus', 'kualitas', 'produk', 'nyh', 'sesuai', 'deskripsi', 'tingkat']",Positif
Oppo A3x,m***h,mantap barang orii ga nyesel belanja di siniiiii,5.0,mantap barang orii ga nyesel belanja di siniiiii,mantap barang orii ga nyesel belanja di siniiiii,"['mantap', 'barang', 'orii', 'ga', 'nyesel', 'belanja', 'di', 'siniiiii']","['mantap', 'barang', 'orii', 'ga', 'nyesel', 'belanja', 'di', 'siniiiii']","['mantap', 'barang', 'orii', 'ga', 'nyesel', 'belanja', 'siniiiii']",Positif
Oppo A3x,Agus,"brang sesuai pesanan,masih disegel",5.0,"barang sesuai pesanan,masih disegel",barang sesuai pesananmasih disegel,"['barang', 'sesuai', 'pesananmasih', 'disegel']","['barang', 'sesuai', 'pesananmasih', 'segel']","['barang', 'sesuai', 'pesananmasih', 'segel']",Positif
Oppo A3x,Fangga,bagus. aman. lengkap,5.0,bagus. aman. Lengkap,bagus aman lengkap,"['bagus', 'aman', 'lengkap']","['bagus', 'aman', 'lengkap']","['bagus', 'aman', 'lengkap']",Positif
Oppo A3x,Iman,alhamdulillah barang sampai dngn selamat. kondisi sangat bagus. packing rapih. toko nya ramah dan amanah. ini pembelian yg k 2x nya. puas banget. makasih seller,5.0,Alhamdulillah barang sampai dngn selamat. kondisi sangat bagus. packing rapih. toko nya ramah dan amanah. ini pembelian yg k 2X nya. puas banget. makasih seller,alhamdulillah barang sampai dngn selamat kondisi sangat bagus packing rapih toko nya ramah dan amanah ini pembelian yg k x nya puas banget makasih seller,"['alhamdulillah', 'barang', 'sampai', 'dngn', 'selamat', 'kondisi', 'sangat', 'bagus', 'packing', 'rapih', 'toko', 'nya', 'ramah', 'dan', 'amanah', 'ini', 'pembelian', 'yg', 'k', 'x', 'nya', 'puas', 'banget', 'makasih', 'seller']","['alhamdulillah', 'barang', 'sampai', 'dngn', 'selamat', 'kondisi', 'sangat', 'bagus', 'packing', 'rapih', 'toko', 'nya', 'ramah', 'dan', 'amanah', 'ini', 'beli', 'yg', 'k', 'x', 'nya', 'puas', 'banget', 'makasih', 'seller']","['alhamdulillah', 'barang', 'dngn', 'selamat', 'kondisi', 'bagus', 'rapih', 'toko', 'ramah', 'amanah', 'beli', 'puas', 'banget', 'makasih', 'seller']",Positif
Oppo A3x,J***i,"barang ok, pengiriman juga cepat, terima kasih",5.0,"Barang ok, pengiriman juga cepat, terima kasih",barang ok pengiriman juga cepat terima kasih,"['barang', 'ok', 'pengiriman', 'juga', 'cepat', 'terima', 'kasih']","['barang', 'ok', 'kirim', 'juga', 'cepat', 'terima', 'kasih']","['barang', 'kirim', 'cepat', 'terima', 'kasih']",Positif
Oppo A3x,selsa,bagus bgt cm 1 hari perjalanan dan responsif,5.0,bagus banget cuma 1 hari perjalanan dan responsif,bagus banget cuma  hari perjalanan dan responsif,"['bagus', 'banget', 'cuma', 'hari', 'perjalanan', 'dan', 'responsif']","['bagus', 'banget', 'cuma', 'hari', 'jalan', 'dan', 'responsif']","['bagus', 'banget', 'jalan', 'responsif']",Positif
Oppo A3x,R***n,barang sesuai dan aman dalam pengiriman,5.0,barang sesuai dan aman dalam pengiriman,barang sesuai dan aman dalam pengiriman,"['barang', 'sesuai', 'dan', 'aman', 'dalam', 'pengiriman']","['barang', 'sesuai', 'dan', 'aman', 'dalam', 'kirim']","['barang', 'sesuai', 'aman', 'kirim']",Positif
Oppo A3x,riski,barang sesuai vidio nya ga muat,5.0,barang sesuai vidio nya ga muat,barang sesuai vidio nya ga muat,"['barang', 'sesuai', 'vidio', 'nya', 'ga', 'muat']","['barang', 'sesuai', 'vidio', 'nya', 'ga', 'muat']","['barang', 'sesuai', 'vidio', 'ga', 'muat']",Positif
Oppo A3x,L***a,makasih .barangnya ori,5.0,makasih .barangnya ORI,makasih barangnya ori,"['makasih', 'barangnya', 'ori']","['makasih', 'barang', 'ori']","['makasih', 'barang', 'ori']",Positif
Oppo A3x,saipul,barang nya ok dan bagus,5.0,barang nya ok dan bagus,barang nya ok dan bagus,"['barang', 'nya', 'ok', 'dan', 'bagus']","['barang', 'nya', 'ok', 'dan', 'bagus']","['barang', 'bagus']",Positif
Oppo A18,D***a,"mantap fast respon, repeat order. thanks",5.0,"Mantap Fast respon, repeat order. Thanks",mantap fast respon repeat order thanks,"['mantap', 'fast', 'respon', 'repeat', 'order', 'thanks']","['mantap', 'fast', 'respon', 'repeat', 'order', 'thanks']","['mantap', 'fast', 'respon', 'repeat', 'order']",Positif
Oppo A18,kelvin,sorry b3 . kualitas barang tidak segel original. ntah ini bekas atau baru saya kurang paham . intinya barangnya repackaged. kali ini memang tidak saya return karna alasan tidak mau nunggu waktu terlalu lama. mudah2an seller bisa lebih amanah dan jujur. trms,3.0,sorry b3 . kualitas barang tidak segel original. ntah ini bekas atau baru saya kurang paham . intinya barangnya repackaged. kali ini memang tidak saya return karna alasan tidak mau nunggu waktu terlalu lama. mudah2an seller bisa lebih amanah dan jujur. trms,sorry b  kualitas barang tidak segel original ntah ini bekas atau baru saya kurang paham  intinya barangnya repackaged kali ini memang tidak saya return karna alasan tidak mau nunggu waktu terlalu lama mudahan seller bisa lebih amanah dan jujur trms,"['sorry', 'b', 'kualitas', 'barang', 'tidak', 'segel', 'original', 'ntah', 'ini', 'bekas', 'atau', 'baru', 'saya', 'kurang', 'paham', 'intinya', 'barangnya', 'repackaged', 'kali', 'ini', 'memang', 'tidak', 'saya', 'return', 'karna', 'alasan', 'tidak', 'mau', 'nunggu', 'waktu', 'terlalu', 'lama', 'mudahan', 'seller', 'bisa', 'lebih', 'amanah', 'dan', 'jujur', 'trms']","['sorry', 'b', 'kualitas', 'barang', 'tidak', 'segel', 'original', 'ntah', 'ini', 'bekas', 'atau', 'baru', 'saya', 'kurang', 'paham', 'inti', 'barang', 'repackaged', 'kali', 'ini', 'memang', 'tidak', 'saya', 'return', 'karna', 'alas', 'tidak', 'mau', 'nunggu', 'waktu', 'terlalu', 'lama', 'mudah', 'seller', 'bisa', 'lebih', 'amanah', 'dan', 'jujur', 'trms']","['sorry', 'b', 'kualitas', 'barang', 'segel', 'original', 'ntah', 'bekas', 'paham', 'inti', 'barang', 'repackaged', 'kali', 'return', 'karna', 'alas', 'nunggu', 'mudah', 'seller', 'amanah', 'jujur', 'trms']",Netral
Oppo A18,s***l,barang sesuai berfungsi dgn baik recommended banget oke,5.0,Barang sesuai Berfungsi dengan baik Recommended banget Oke,barang sesuai berfungsi dengan baik recommended banget oke,"['barang', 'sesuai', 'berfungsi', 'dengan', 'baik', 'recommended', 'banget', 'oke']","['barang', 'sesuai', 'fungsi', 'dengan', 'baik', 'recommended', 'banget', 'oke']","['barang', 'sesuai', 'fungsi', 'recommended', 'banget']",Positif
